entry_time,exit_time,side,entry,exit,pnl,bars,reason
2022-11-16 08:30:00,2022-11-16 08:32:00,-1,1775.948,1778.948,-3.2,2,sl
2022-11-23 14:02:00,2022-11-23 14:04:00,1,1748.525,1750.525,1.8,2,trail
2022-11-28 09:40:00,2022-11-28 09:45:00,-1,1745.598,1748.598,-3.2,5,sl
2022-12-13 08:29:00,2022-12-13 08:30:00,1,1790.278,1792.278,1.8,1,trail
2022-12-13 08:57:00,2022-12-13 09:33:00,1,1809.515,1817.588,7.872999999999865,36,reverse
2022-12-14 14:34:00,2022-12-14 14:36:00,-1,1796.355,1799.355,-3.2,2,sl
2023-01-02 18:00:00,2023-01-02 18:07:00,1,1826.637,1828.458,1.62100000000014,5,trail
2023-01-06 10:33:00,2023-01-06 10:56:00,1,1861.705,1861.575,-0.3299999999998818,23,reverse
2023-01-18 08:30:00,2023-01-18 08:33:00,1,1923.327,1920.327,-3.2,3,sl
2023-01-27 08:32:00,2023-01-27 08:45:00,1,1934.325,1932.375,-2.1500000000000457,13,reverse
2023-02-01 19:00:00,2023-02-01 19:11:00,1,1954.855,1953.758,-1.29699999999998,11,reverse
2023-02-07 16:49:00,2023-02-07 16:51:00,1,1873.848,1875.848,1.8,2,trail
2023-02-27 09:00:00,2023-02-27 09:31:00,1,1816.245,1815.775,-0.6699999999997999,31,reverse
2023-02-28 12:00:00,2023-02-28 12:36:00,1,1826.618,1828.975,2.1569999999999707,36,reverse
2023-03-01 08:00:00,2023-03-01 08:08:00,1,1841.218,1838.218,-3.2,8,sl
2023-03-03 07:00:00,2023-03-03 07:11:00,1,1847.865,1846.945,-1.1200000000000727,11,reverse
2023-03-06 14:00:00,2023-03-06 14:23:00,-1,1846.645,1846.315,0.12999999999992723,23,reverse
2023-03-13 08:00:00,2023-03-13 08:01:00,1,1897.045,1898.065,0.8199999999999819,1,trail
2023-03-13 10:01:00,2023-03-13 10:33:00,1,1908.565,1910.565,1.8,32,trail
2023-03-14 08:00:00,2023-03-14 08:03:00,1,1909.895,1906.895,-3.2,3,sl
2023-03-15 07:31:00,2023-03-15 07:32:00,1,1924.558,1921.558,-3.2,1,sl
2023-03-17 12:00:00,2023-03-17 12:10:00,1,1962.388,1964.368,1.7800000000000182,10,trail
2023-03-20 08:00:00,2023-03-20 08:07:00,-1,1975.555,1978.555,-3.2,7,sl
2023-03-20 14:00:00,2023-03-20 14:08:00,1,1983.905,1980.905,-3.2,8,sl
2023-03-21 09:00:00,2023-03-21 09:03:00,-1,1951.114,1954.114,-3.2,3,sl
2023-03-21 11:00:00,2023-03-21 11:16:00,-1,1947.975,1947.175,0.5999999999999546,16,trail
2023-03-21 14:00:00,2023-03-21 14:17:00,-1,1936.765,1938.815,-2.2499999999999547,17,reverse
2023-03-22 13:36:00,2023-03-22 13:55:00,1,1961.255,1970.574,9.11899999999996,19,reverse
2023-03-22 15:03:00,2023-03-22 15:09:00,1,1974.288,1972.368,-2.120000000000073,6,reverse
2023-03-29 11:00:00,2023-03-29 11:07:00,1,1969.148,1966.148,-3.2,7,sl
2023-03-31 15:00:00,2023-03-31 15:23:00,-1,1969.885,1970.145,-0.4599999999999909,23,reverse
2023-04-06 09:00:00,2023-04-06 09:05:00,-1,2012.085,2010.798,1.0870000000000346,5,trail
2023-04-10 09:42:00,2023-04-10 09:44:00,-1,1990.095,1988.095,1.8,2,trail
2023-04-19 13:00:00,2023-04-19 13:14:00,1,1996.155,1994.365,-1.9899999999999636,14,reverse
2023-04-24 19:00:00,2023-04-24 19:16:00,1,1992.298,1991.625,-0.8730000000000018,16,reverse
2023-04-25 20:00:00,2023-04-25 20:29:00,1,2000.385,2001.485,0.8999999999999091,29,reverse
2023-05-02 12:00:00,2023-05-02 12:05:00,1,2014.474,2016.098,1.4240000000000237,5,trail
2023-05-03 14:00:00,2023-05-03 14:01:00,1,2028.898,2030.348,1.2500000000000455,1,trail
2023-05-03 18:20:00,2023-05-03 18:23:00,1,2052.464,2054.464,1.8,3,trail
2023-05-08 15:00:00,2023-05-08 15:16:00,-1,2021.255,2022.024,-0.968999999999778,16,reverse
2023-05-09 19:00:00,2023-05-09 19:37:00,1,2036.754,2036.675,-0.2789999999999509,37,reverse
2023-05-19 13:00:00,2023-05-19 13:15:00,1,1978.365,1977.315,-1.2499999999999545,15,reverse
2023-05-23 10:00:00,2023-05-23 10:06:00,1,1969.024,1970.258,1.034000000000151,6,trail
2023-06-07 20:00:00,2023-06-07 20:43:00,1,1944.635,1945.478,0.6430000000000746,43,reverse
2023-06-20 09:00:00,2023-06-20 11:00:00,-1,1944.255,1934.635,9.420000000000119,60,reverse
2023-06-30 12:00:00,2023-06-30 12:14:00,1,1918.875,1918.778,-0.29699999999998,14,reverse
2023-07-05 11:00:00,2023-07-05 11:10:00,-1,1922.355,1923.648,-1.4929999999998926,10,reverse
2023-07-05 15:00:00,2023-07-05 15:14:00,-1,1915.885,1916.535,-0.8500000000000909,14,reverse
2023-08-03 10:25:00,2023-08-03 10:40:00,1,1936.785,1936.598,-0.3870000000001255,15,reverse
2023-08-30 08:15:00,2023-08-30 08:21:00,1,1941.895,1939.775,-2.319999999999891,6,reverse
2023-09-01 10:00:00,2023-09-01 10:04:00,-1,1938.675,1941.675,-3.2,4,sl
2023-09-15 10:00:00,2023-09-15 10:10:00,1,1926.705,1928.065,1.1600000000001274,10,trail
2023-09-25 07:00:00,2023-09-25 07:21:00,1,1924.605,1924.385,-0.4200000000000273,21,reverse
2023-10-02 08:20:00,2023-10-02 08:22:00,1,1839.145,1836.145,-3.2,2,sl
2023-10-19 19:31:00,2023-10-19 19:32:00,1,1980.925,1977.925,-3.2,1,sl
2023-10-20 13:17:00,2023-10-20 13:20:00,-1,1979.348,1977.348,1.8,3,trail
2023-10-25 11:03:00,2023-10-25 11:05:00,-1,1966.425,1964.425,1.8,2,trail
2023-11-14 08:30:00,2023-11-14 08:33:00,1,1956.005,1957.525,1.3199999999999819,3,trail
2023-11-15 08:32:00,2023-11-15 08:50:00,-1,1969.085,1966.285,2.5999999999999543,18,reverse
2023-11-19 18:00:00,2023-11-19 18:13:00,-1,1977.744,1978.385,-0.8410000000000764,13,reverse
2023-12-03 18:48:00,2023-12-03 18:52:00,1,2128.765,2130.765,1.8,4,trail
2023-12-13 14:36:00,2023-12-13 14:38:00,1,2010.225,2010.945,0.5200000000000273,2,trail
2023-12-15 08:33:00,2023-12-15 08:35:00,-1,2038.395,2037.205,0.9900000000000546,2,trail
2024-02-16 08:30:00,2024-02-16 08:43:00,-1,2000.765,1998.765,1.8,13,trail
2024-03-06 11:55:00,2024-03-06 12:07:00,1,2148.145,2146.645,-1.7,12,reverse
2024-03-12 09:03:00,2024-03-12 09:06:00,-1,2157.818,2156.778,0.8400000000004184,3,trail
2024-03-20 13:00:00,2024-03-20 13:01:00,1,2161.995,2163.834,1.6389999999999418,1,trail
2024-03-20 13:38:00,2024-03-20 13:41:00,1,2170.665,2171.825,0.9599999999998545,3,trail
2024-03-20 17:50:00,2024-03-20 17:51:00,1,2204.375,2201.375,-3.2,1,sl
2024-04-01 10:00:00,2024-04-01 10:03:00,-1,2239.715,2238.778,0.7370000000003529,3,trail
2024-04-02 18:16:00,2024-04-02 18:22:00,1,2283.535,2285.448,1.713000000000011,6,trail
2024-04-03 10:00:00,2024-04-03 10:01:00,1,2279.605,2280.895,1.0899999999999637,1,trail
2024-04-03 11:08:00,2024-04-03 11:11:00,1,2284.945,2281.945,-3.2,3,sl
2024-04-04 14:44:00,2024-04-04 14:57:00,1,2301.725,2303.725,1.8,13,trail
2024-04-08 08:21:00,2024-04-08 08:37:00,-1,2331.955,2329.585,2.1699999999998907,16,reverse
2024-04-10 09:30:00,2024-04-10 09:32:00,-1,2323.385,2321.385,1.8,2,trail
