entry_time,exit_time,side,entry,exit,pnl,bars,reason,m
2025-10-10 12:42:00,2025-10-10 12:47:00,-1,3987.745,3985.745,1.8,5,trail,2025-10
2025-10-10 13:30:00,2025-10-10 13:35:00,-1,3980.105,3988.498,-8.593000000000028,5,reverse,2025-10
2025-10-12 23:26:00,2025-10-12 23:30:00,1,4050.195,4050.955,0.5599999999997636,4,trail,2025-10
2025-10-13 02:52:00,2025-10-13 02:53:00,1,4070.265,4067.135,-3.3299999999996546,1,reverse,2025-10
2025-10-13 04:05:00,2025-10-13 04:08:00,1,4073.818,4074.348,0.32999999999974533,3,trail,2025-10
2025-10-13 08:56:00,2025-10-13 09:01:00,1,4079.795,4081.155,1.1600000000001274,5,trail,2025-10
2025-10-13 10:20:00,2025-10-13 10:32:00,1,4096.045,4096.738,0.493000000000211,12,trail,2025-10
2025-10-13 10:45:00,2025-10-13 10:55:00,1,4099.025,4101.025,1.8,10,trail,2025-10
2025-10-13 11:15:00,2025-10-13 11:24:00,1,4098.345,4097.125,-1.4200000000002546,9,reverse,2025-10
2025-10-13 20:51:00,2025-10-13 20:56:00,1,4129.485,4127.075,-2.6099999999998547,5,reverse,2025-10
2025-10-13 21:02:00,2025-10-13 21:33:00,1,4130.245,4141.525,11.079999999999746,31,reverse,2025-10
2025-10-14 00:27:00,2025-10-14 00:34:00,1,4163.975,4162.325,-1.8500000000005457,7,reverse,2025-10
2025-10-14 00:43:00,2025-10-14 01:24:00,1,4162.875,4175.425,12.350000000000183,41,reverse,2025-10
2025-10-14 01:29:00,2025-10-14 01:32:00,1,4179.095,4174.598,-4.6970000000002985,3,reverse,2025-10
2025-10-14 03:40:00,2025-10-14 03:43:00,1,4124.598,4119.838,-4.9600000000002185,3,reverse,2025-10
2025-10-14 05:27:00,2025-10-14 05:33:00,1,4141.115,4142.165,0.8500000000001819,6,trail,2025-10
2025-10-14 08:21:00,2025-10-14 08:22:00,-1,4127.645,4126.785,0.6600000000005821,1,trail,2025-10
2025-10-14 09:59:00,2025-10-14 10:01:00,1,4123.715,4125.715,1.8,2,trail,2025-10
2025-10-14 18:35:00,2025-10-14 18:50:00,1,4158.605,4159.345,0.5400000000006913,15,trail,2025-10
2025-10-14 19:06:00,2025-10-14 19:28:00,1,4161.298,4162.298,0.8,22,trail,2025-10
2025-10-14 20:04:00,2025-10-14 20:15:00,1,4166.305,4167.915,1.4099999999996726,11,trail,2025-10
2025-10-14 21:24:00,2025-10-14 21:29:00,1,4182.255,4184.255,1.8,5,trail,2025-10
2025-10-15 01:42:00,2025-10-15 01:56:00,1,4191.548,4188.748,-3.000000000000182,14,reverse,2025-10
2025-10-15 02:41:00,2025-10-15 03:02:00,1,4191.385,4194.875,3.2899999999997815,21,reverse,2025-10
2025-10-15 07:08:00,2025-10-15 07:20:00,1,4201.755,4200.845,-1.1099999999998544,12,reverse,2025-10
2025-10-15 09:02:00,2025-10-15 09:05:00,-1,4184.285,4190.055,-5.970000000000437,3,reverse,2025-10
2025-10-15 11:00:00,2025-10-15 11:03:00,1,4200.348,4195.375,-5.1729999999999565,3,reverse,2025-10
2025-10-15 15:47:00,2025-10-15 15:50:00,1,4209.585,4210.545,0.7600000000000364,3,trail,2025-10
2025-10-15 21:06:00,2025-10-15 21:14:00,1,4219.175,4220.865,1.4899999999995999,8,trail,2025-10
2025-10-15 22:39:00,2025-10-15 22:42:00,1,4232.525,4234.325,1.600000000000182,3,trail,2025-10
2025-10-16 00:00:00,2025-10-16 00:02:00,-1,4232.185,4231.485,0.5000000000007276,2,trail,2025-10
2025-10-16 01:13:00,2025-10-16 01:15:00,-1,4229.845,4227.845,1.8,2,trail,2025-10
2025-10-16 03:28:00,2025-10-16 03:31:00,1,4233.225,4230.475,-2.95,3,reverse,2025-10
2025-10-16 04:22:00,2025-10-16 04:27:00,1,4234.275,4231.445,-3.0299999999999274,5,reverse,2025-10
2025-10-16 06:15:00,2025-10-16 06:23:00,1,4241.705,4237.178,-4.727000000000044,8,reverse,2025-10
2025-10-16 07:06:00,2025-10-16 07:16:00,1,4242.905,4242.295,-0.8099999999996725,10,reverse,2025-10
2025-10-16 10:01:00,2025-10-16 10:04:00,1,4255.465,4256.085,0.41999999999989085,3,trail,2025-10
2025-10-16 11:52:00,2025-10-16 11:55:00,1,4273.655,4274.248,0.3929999999998472,3,trail,2025-10
2025-10-16 12:05:00,2025-10-16 12:07:00,1,4275.765,4276.698,0.7329999999999928,2,trail,2025-10
2025-10-16 13:49:00,2025-10-16 14:05:00,1,4294.285,4289.785,-4.7,16,reverse,2025-10
2025-10-16 16:43:00,2025-10-16 18:33:00,1,4316.565,4361.885,45.120000000000616,50,reverse,2025-10
2025-10-16 19:06:00,2025-10-16 19:10:00,1,4356.598,4358.598,1.8,4,trail,2025-10
2025-10-16 19:40:00,2025-10-16 19:54:00,1,4366.075,4368.075,1.8,14,trail,2025-10
2025-10-16 23:35:00,2025-10-16 23:38:00,1,4360.015,4355.605,-4.610000000000764,3,reverse,2025-10
2025-10-16 23:48:00,2025-10-17 00:14:00,1,4359.118,4370.645,11.327000000000044,26,reverse,2025-10
2025-10-17 00:46:00,2025-10-17 00:48:00,1,4364.175,4365.745,1.369999999999709,2,trail,2025-10
2025-10-17 02:05:00,2025-10-17 02:11:00,1,4368.915,4365.445,-3.670000000000255,6,reverse,2025-10
2025-10-17 03:51:00,2025-10-17 03:56:00,-1,4338.275,4336.275,1.8,5,trail,2025-10
2025-10-17 05:45:00,2025-10-17 05:48:00,-1,4337.675,4336.695,0.780000000000473,3,trail,2025-10
2025-10-17 06:55:00,2025-10-17 07:01:00,-1,4328.215,4327.585,0.43000000000010913,6,trail,2025-10
2025-10-17 11:12:00,2025-10-17 11:14:00,-1,4244.945,4244.335,0.40999999999967257,2,trail,2025-10
2025-10-17 12:18:00,2025-10-17 12:19:00,-1,4229.775,4228.035,1.5399999999997818,1,trail,2025-10
2025-10-17 12:24:00,2025-10-17 12:49:00,-1,4228.795,4215.805,12.789999999999782,25,reverse,2025-10
2025-10-17 14:02:00,2025-10-17 14:34:00,1,4228.148,4238.835,10.486999999999899,32,reverse,2025-10
2025-10-17 16:55:00,2025-10-17 16:57:00,1,4248.225,4250.225,1.8,2,trail,2025-10
2025-10-19 19:57:00,2025-10-19 20:03:00,-1,4238.445,4242.185,-3.9400000000006914,6,reverse,2025-10
2025-10-19 20:04:00,2025-10-19 20:07:00,-1,4236.395,4235.415,0.780000000000473,3,trail,2025-10
2025-10-19 21:11:00,2025-10-19 21:13:00,1,4248.095,4250.095,1.8,2,trail,2025-10
2025-10-19 23:14:00,2025-10-19 23:17:00,-1,4253.289,4257.448,-4.35900000000056,3,reverse,2025-10
2025-10-19 23:28:00,2025-10-19 23:31:00,-1,4256.679,4254.908,1.5709999999997308,3,trail,2025-10
2025-10-20 00:38:00,2025-10-20 00:41:00,1,4265.945,4266.548,0.4030000000000655,3,trail,2025-10
2025-10-20 02:20:00,2025-10-20 02:22:00,-1,4235.569,4233.829,1.5400000000006913,2,trail,2025-10
2025-10-20 02:45:00,2025-10-20 02:51:00,-1,4232.659,4231.748,0.7110000000000583,6,trail,2025-10
2025-10-20 03:42:00,2025-10-20 03:50:00,1,4258.785,4254.835,-4.149999999999818,8,reverse,2025-10
2025-10-20 04:03:00,2025-10-20 04:13:00,1,4258.585,4260.585,1.8,10,trail,2025-10
2025-10-20 04:57:00,2025-10-20 05:01:00,1,4257.505,4258.548,0.8429999999996654,4,trail,2025-10
2025-10-20 09:49:00,2025-10-20 09:51:00,1,4314.455,4315.448,0.793000000000393,2,trail,2025-10
2025-10-20 18:16:00,2025-10-20 18:18:00,1,4366.715,4368.715,1.8,2,trail,2025-10
2025-10-20 18:48:00,2025-10-20 18:52:00,1,4366.585,4368.565,1.7799999999995635,4,trail,2025-10
2025-10-21 01:30:00,2025-10-21 01:33:00,-1,4329.195,4327.195,1.8,3,trail,2025-10
2025-10-21 02:23:00,2025-10-21 02:29:00,-1,4324.765,4324.235,0.3300000000006548,6,trail,2025-10
2025-10-21 05:38:00,2025-10-21 05:47:00,-1,4267.248,4271.535,-4.487000000000262,9,reverse,2025-10
2025-10-21 08:31:00,2025-10-21 08:34:00,-1,4220.995,4218.995,1.8,3,trail,2025-10
2025-10-21 13:52:00,2025-10-21 14:01:00,-1,4109.145,4119.295,-10.349999999999635,9,reverse,2025-10
2025-10-21 15:40:00,2025-10-21 15:43:00,-1,4101.395,4109.755,-8.559999999999672,3,reverse,2025-10
2025-10-21 16:33:00,2025-10-21 16:38:00,1,4125.095,4127.095,1.8,5,trail,2025-10
2025-10-22 00:52:00,2025-10-22 00:59:00,1,4131.185,4127.865,-3.5200000000006186,7,reverse,2025-10
2025-10-22 01:03:00,2025-10-22 01:05:00,1,4130.785,4132.785,1.8,2,trail,2025-10
2025-10-22 03:33:00,2025-10-22 03:43:00,-1,4136.919,4140.075,-3.3559999999999492,10,reverse,2025-10
2025-10-22 09:00:00,2025-10-22 09:01:00,1,4050.445,4052.255,1.6099999999999455,1,trail,2025-10
2025-10-22 10:18:00,2025-10-22 10:19:00,1,4069.439,4070.935,1.2960000000000946,1,trail,2025-10
2025-10-22 11:25:00,2025-10-22 11:28:00,-1,4032.365,4030.815,1.3499999999997272,3,trail,2025-10
2025-10-22 12:00:00,2025-10-22 12:02:00,-1,4034.485,4032.725,1.5600000000002183,2,trail,2025-10
2025-10-22 13:33:00,2025-10-22 13:36:00,1,4054.205,4054.825,0.41999999999989085,3,trail,2025-10
2025-10-22 16:35:00,2025-10-22 16:45:00,1,4100.905,4102.105,0.9999999999998181,10,trail,2025-10
2025-10-22 18:00:00,2025-10-22 18:04:00,1,4105.525,4107.525,1.8,4,trail,2025-10
2025-10-22 19:05:00,2025-10-22 19:06:00,-1,4095.278,4094.768,0.3099999999997635,1,trail,2025-10
2025-10-23 05:14:00,2025-10-23 05:16:00,1,4118.275,4120.105,1.6299999999999273,2,trail,2025-10
2025-10-23 09:53:00,2025-10-23 09:59:00,1,4148.655,4144.509,-4.345999999999731,6,reverse,2025-10
2025-10-23 11:00:00,2025-10-23 11:06:00,1,4150.885,4145.085,-6.000000000000182,6,reverse,2025-10
2025-10-23 11:28:00,2025-10-23 11:35:00,1,4146.855,4142.245,-4.809999999999673,7,reverse,2025-10
2025-10-24 05:31:00,2025-10-24 05:34:00,1,4073.185,4069.885,-3.4999999999997273,3,reverse,2025-10
2025-10-24 08:30:00,2025-10-24 08:35:00,1,4090.048,4091.205,0.9570000000001528,5,trail,2025-10
2025-10-24 11:52:00,2025-10-24 11:54:00,1,4129.635,4130.135,0.3,2,trail,2025-10
2025-10-24 14:27:00,2025-10-24 14:29:00,-1,4105.315,4103.315,1.8,2,trail,2025-10
2025-10-24 15:58:00,2025-10-24 16:02:00,-1,4103.635,4102.895,0.5399999999997818,4,trail,2025-10
2025-10-26 18:36:00,2025-10-26 18:39:00,-1,4074.015,4072.015,1.8,3,trail,2025-10
2025-10-26 18:57:00,2025-10-26 18:58:00,-1,4064.458,4063.415,0.8430000000001201,1,trail,2025-10
2025-10-26 19:19:00,2025-10-26 19:21:00,-1,4063.955,4063.425,0.32999999999974533,2,trail,2025-10
2025-10-26 21:20:00,2025-10-26 21:22:00,-1,4074.845,4072.995,1.649999999999909,2,trail,2025-10
2025-10-26 21:46:00,2025-10-26 21:52:00,-1,4072.115,4076.265,-4.350000000000091,6,reverse,2025-10
2025-10-26 22:16:00,2025-10-26 22:20:00,-1,4070.245,4073.775,-3.7300000000002003,4,reverse,2025-10
2025-10-27 01:01:00,2025-10-27 01:04:00,1,4082.955,4077.535,-5.620000000000073,3,reverse,2025-10
2025-10-27 01:24:00,2025-10-27 01:30:00,1,4082.498,4079.928,-2.770000000000164,6,reverse,2025-10
2025-10-27 07:41:00,2025-10-27 07:48:00,1,4037.045,4039.045,1.8,7,trail,2025-10
2025-10-27 10:42:00,2025-10-27 10:44:00,-1,3982.495,3980.635,1.6599999999996726,2,trail,2025-10
2025-10-27 11:38:00,2025-10-27 11:42:00,1,3992.105,3993.425,1.1200000000001638,4,trail,2025-10
2025-10-27 12:25:00,2025-10-27 12:32:00,1,3999.265,4001.265,1.8,7,trail,2025-10
2025-10-27 13:05:00,2025-10-27 13:11:00,1,4008.215,4005.195,-3.219999999999982,6,reverse,2025-10
2025-10-27 13:47:00,2025-10-27 13:56:00,1,4006.265,4003.628,-2.8369999999997164,9,reverse,2025-10
2025-10-28 00:30:00,2025-10-28 00:32:00,-1,3966.865,3965.075,1.5899999999999637,2,trail,2025-10
2025-10-28 02:17:00,2025-10-28 02:19:00,-1,3938.545,3937.085,1.2600000000000364,2,trail,2025-10
2025-10-28 04:35:00,2025-10-28 04:42:00,-1,3900.315,3904.925,-4.8100000000001275,7,reverse,2025-10
2025-10-28 09:48:00,2025-10-28 09:53:00,1,3948.535,3950.535,1.8,5,trail,2025-10
