time,open,close,high,low,direction,ema_fast,ema_slow,signal,ema_trend,dist
2022-02-24 06:45:00,1969.504,1969.004,1969.504,1969.004,-1,1969.4933443051823,1969.5238531785765,0,1966.8640745987182,0.5198531785765681
2022-02-24 06:46:00,1969.004,1968.504,1969.004,1968.504,-1,1969.295475444146,1969.3669526895646,0,1966.8803922644026,0.8629526895647359
2022-02-24 06:46:00,1968.504,1968.004,1968.504,1968.004,-1,1969.0371803553169,1969.1572676604007,0,1966.8915724408762,1.153267660400843
2022-02-24 06:48:00,1968.004,1967.504,1968.004,1967.504,-1,1968.7305442842537,1968.9029187895699,0,1966.8976662474347,1.3989187895699615
2022-02-24 06:49:00,1967.504,1968.004,1968.004,1967.504,1,1968.585235427403,1968.7646235911745,0,1966.9086745434802,0.7606235911746353
2022-02-24 06:49:00,1968.004,1968.504,1968.504,1968.004,1,1968.5689883419225,1968.7245276540707,0,1966.9245484286198,0.22052765407079278
2022-02-24 06:50:00,1968.504,1968.004,1968.504,1968.004,-1,1968.455990673538,1968.6136772457521,0,1966.9352892402753,0.6096772457522093
2022-02-24 06:51:00,1968.004,1967.504,1968.004,1967.504,-1,1968.2655925388306,1968.4429576694824,0,1966.940948053805,0.9389576694825337
2022-02-24 06:51:00,1967.504,1967.004,1967.504,1967.004,-1,1968.0132740310646,1968.2215795664852,0,1966.9415754363542,1.2175795664852558
2022-02-24 06:52:00,1967.004,1966.504,1967.004,1966.504,-1,1967.7114192248519,1967.9573365562567,0,1966.937221451913,1.4533365562567724
2022-02-24 06:53:00,1966.504,1966.004,1966.504,1966.004,-1,1967.3699353798816,1967.6568232399095,0,1966.927935666322,1.6528232399095941
2022-02-24 06:55:00,1966.004,1966.504,1966.504,1966.004,1,1967.1967483039052,1967.4794658183848,0,1966.9237174009854,0.9754658183849187
2022-02-24 06:55:00,1966.504,1967.004,1967.004,1966.504,1,1967.1581986431243,1967.4063172309409,0,1966.9245162328164,0.40231723094098015
2022-02-24 06:56:00,1967.004,1966.504,1967.004,1966.504,-1,1967.0273589144995,1967.2674991954116,0,1966.920331991694,0.7634991954116686
2022-02-24 06:57:00,1966.504,1966.004,1966.504,1966.004,-1,1966.8226871315997,1967.0731147038098,0,1966.9112142604333,1.0691147038098734
2022-02-24 06:58:00,1966.004,1965.504,1966.004,1965.504,-1,1966.5589497052797,1966.831712441685,0,1966.8972121284887,1.3277124416852075
2022-02-24 06:58:00,1965.504,1965.004,1965.504,1965.004,-1,1966.2479597642239,1966.550525912195,0,1966.878374196862,1.546525912195193
2022-02-24 06:58:00,1965.004,1964.504,1965.004,1964.504,-1,1965.8991678113794,1966.2356757718576,0,1966.854748582963,1.731675771857681
2022-02-24 06:58:00,1964.504,1964.004,1964.504,1964.004,-1,1965.5201342491036,1965.8923410377256,0,1966.8263829254213,1.888341037725695
2022-02-24 06:58:00,1964.004,1963.504,1964.004,1963.504,-1,1965.116907399283,1965.5249039549985,0,1966.79332438885,2.02090395499863
2022-02-24 06:59:00,1963.504,1963.004,1963.504,1963.004,-1,1964.6943259194265,1965.1370725773065,0,1966.755619668563,2.1330725773066206
2022-02-24 06:59:00,1963.004,1962.504,1963.004,1962.504,-1,1964.2562607355414,1964.73198448849,0,1966.713314995244,2.227984488490165
2022-02-24 06:59:00,1962.504,1962.004,1962.504,1962.004,-1,1963.8058085884331,1964.312294567184,0,1966.66645613957,2.3082945671840207
2022-02-24 06:59:00,1962.004,1961.504,1962.004,1961.504,-1,1963.3454468707466,1963.8802492491557,0,1966.6150884167882,2.3762492491557623
2022-02-24 07:00:00,1961.504,1962.004,1962.004,1961.504,1,1963.0771574965975,1963.5915955185164,0,1966.5692069400045,1.5875955185165367
2022-02-24 07:00:00,1962.004,1962.504,1962.504,1962.004,1,1962.9625259972781,1963.4242731310524,0,1966.528757119706,0.9202731310524541
2022-02-24 07:00:00,1962.504,1963.004,1963.004,1962.504,1,1962.9708207978226,1963.359615726275,0,1966.4936849095598,0.3556157262751185
2022-02-24 07:00:00,1963.004,1963.504,1963.504,1963.004,1,1963.0774566382584,1963.3818286914634,0,1966.4639368010069,0.12217130853650815
2022-02-24 07:01:00,1963.504,1963.004,1963.504,1963.004,-1,1963.0627653106067,1963.323701200469,0,1966.4295095691562,0.319701200469126
2022-02-24 07:01:00,1963.004,1962.504,1963.004,1962.504,-1,1962.9510122484855,1963.197593323474,0,1966.3904497724482,0.6935933234740332
2022-02-24 07:01:00,1962.504,1962.004,1962.504,1962.004,-1,1962.7616097987884,1963.013963581401,0,1966.3468035060557,1.0099635814010526
2022-02-24 07:01:00,1962.004,1961.504,1962.004,1961.504,-1,1962.5100878390308,1962.7816614919548,0,1966.298616406493,1.2776614919548592
2022-02-24 07:02:00,1961.504,1962.004,1962.004,1961.504,1,1962.4088702712247,1962.6620212624232,0,1966.255883904936,0.65802126242329
2022-02-24 07:02:00,1962.004,1962.504,1962.504,1962.004,1,1962.42789621698,1962.6377102989736,0,1966.2185517267774,0.13371029897371045
2022-02-24 07:02:00,1962.504,1963.004,1963.004,1962.504,1,1962.543116973584,1962.69406256067,0,1966.1865661374563,0.3099374393298149
2022-02-24 07:02:00,1963.004,1963.504,1963.504,1963.004,1,1962.7352935788672,1962.8186683205668,0,1966.1598739370836,0.6853316794331477
2022-02-24 07:03:00,1963.504,1964.004,1964.004,1963.504,1,1962.9890348630938,1963.0010270404796,0,1966.1384224551227,1.0029729595203207
