entry_time,exit_time,direction,entry,exit,sl,tp,lot,pnl,r_multiple,bars_held,exit_reason
2022-02-24 04:33:00,2022-02-24 05:20:00,LONG,1946.0,1967.5,,,0.1,210.5,0.0,99,REV
2022-02-24 05:20:00,2022-02-24 05:23:00,SHORT,1967.5,1969.0,,,0.1,-19.5,0.0,11,REV
2022-02-24 05:23:00,2022-02-24 05:26:00,LONG,1969.0,1969.0,,,0.1,-4.5,0.0,16,REV
2022-02-24 05:26:00,2022-02-24 05:37:00,SHORT,1969.0,1969.0,,,0.1,-4.5,0.0,22,REV
2022-02-24 05:37:00,2022-02-24 05:48:00,LONG,1969.0,1968.5,,,0.1,-9.5,0.0,19,REV
2022-02-24 05:48:00,2022-02-24 05:53:00,SHORT,1968.5,1970.5,,,0.1,-24.5,0.0,6,REV
2022-02-24 05:53:00,2022-02-24 06:02:00,LONG,1970.5,1971.5,,,0.1,5.5,0.0,16,REV
2022-02-24 06:02:00,2022-02-24 06:07:00,SHORT,1971.5,1972.0,,,0.1,-9.5,0.0,13,REV
2022-02-24 06:07:00,2022-02-24 06:10:00,LONG,1972.0,1970.0,,,0.1,-24.5,0.0,6,REV
2022-02-24 06:10:00,2022-02-24 06:16:00,SHORT,1970.0,1971.5,,,0.1,-19.5,0.0,7,REV
2022-02-24 06:16:00,2022-02-24 06:21:00,LONG,1971.5,1970.5,,,0.1,-14.5,0.0,6,REV
2022-02-24 06:21:00,2022-02-24 06:21:00,SHORT,1970.5,1971.5,,,0.1,-14.5,0.0,2,REV
2022-02-24 06:21:00,2022-02-24 06:25:00,LONG,1971.5,1970.5,,,0.1,-14.5,0.0,8,REV
2022-02-24 06:25:00,2022-02-24 06:45:00,SHORT,1970.5,1970.0,,,0.1,0.5,0.0,27,REV
2022-02-24 06:45:00,2022-02-24 06:45:00,LONG,1970.0,1969.5,,,0.1,-9.5,0.0,1,REV
2022-02-24 06:45:00,2022-02-24 07:04:00,SHORT,1969.5,1964.5,,,0.1,45.5,0.0,38,REV
2022-02-24 07:04:00,2022-02-24 07:05:00,LONG,1964.5,1962.5,,,0.1,-24.5,0.0,4,REV
