entry_time,exit_time,direction,entry,exit,pnl,bars
2025-12-04 19:02,2025-12-04 19:04,SHORT,4204.655,4206.735,-2.28,2
2025-12-04 19:46,2025-12-04 19:49,SHORT,4203.375,4205.105,-1.93,3
2025-12-04 19:52,2025-12-04 20:05,SHORT,4203.775,4202.695,0.88,13
2025-12-04 20:06,2025-12-04 20:24,SHORT,4199.898,4198.605,1.093,18
2025-12-04 20:43,2025-12-04 20:47,SHORT,4198.615,4201.045,-2.63,4
2025-12-04 21:10,2025-12-04 21:39,SHORT,4202.045,4199.505,2.34,29
2025-12-04 22:35,2025-12-04 23:02,LONG,4204.685,4207.835,2.95,27
2025-12-04 23:05,2025-12-04 23:24,LONG,4208.885,4211.425,2.34,19
2025-12-04 23:26,2025-12-04 23:27,LONG,4212.245,4211.625,-0.82,1
2025-12-04 23:47,2025-12-05 00:05,LONG,4213.985,4215.375,1.19,18
2025-12-05 00:12,2025-12-05 00:14,LONG,4216.805,4215.625,-1.38,2
2025-12-05 00:17,2025-12-05 00:20,LONG,4216.355,4215.945,-0.61,3
2025-12-05 00:26,2025-12-05 01:02,LONG,4217.415,4219.685,2.07,36
2025-12-05 01:04,2025-12-05 01:31,LONG,4220.755,4225.325,4.37,27
2025-12-05 01:36,2025-12-05 01:42,LONG,4227.705,4226.235,-1.67,6
2025-12-05 01:58,2025-12-05 02:00,LONG,4225.375,4224.405,-1.17,2
2025-12-05 02:01,2025-12-05 02:21,LONG,4226.655,4227.095,0.24,20
2025-12-05 02:22,2025-12-05 02:23,LONG,4227.945,4226.935,-1.21,1
2025-12-05 02:27,2025-12-05 02:32,LONG,4228.125,4226.415,-1.91,5
2025-12-05 03:09,2025-12-05 03:20,SHORT,4221.875,4223.675,-2.0,11
2025-12-05 03:30,2025-12-05 03:36,SHORT,4222.655,4225.505,-3.05,6
2025-12-05 03:41,2025-12-05 03:43,SHORT,4223.555,4224.195,-0.84,2
2025-12-05 03:44,2025-12-05 04:23,SHORT,4222.985,4219.355,3.43,39
2025-12-05 05:01,2025-12-05 05:13,LONG,4225.245,4223.905,-1.54,12
2025-12-05 05:21,2025-12-05 05:22,LONG,4224.885,4224.145,-0.94,1
2025-12-05 05:23,2025-12-05 05:30,LONG,4224.915,4223.925,-1.19,7
2025-12-05 05:55,2025-12-05 06:00,LONG,4224.255,4222.758,-1.697,5
2025-12-05 06:47,2025-12-05 06:51,SHORT,4221.835,4222.775,-1.14,4
2025-12-05 07:17,2025-12-05 07:22,LONG,4228.145,4224.515,-3.83,5
2025-12-05 07:43,2025-12-05 08:04,LONG,4225.205,4225.265,-0.14,21
