session,date,year,dt,exit_dt,side,R,rpct,entry,spread,gross,cost,net,Rmult,exit,entry_hour
LON,2018-02-12 00:00:00+00:00,2018,2018-02-12 13:00:00+00:00,2018-02-12 14:46:00+00:00,-1,4.180000000000064,0.3163071149375856,1318.49,0.345,-4.180000000000064,0.435,-4.615000000000063,-1.1040669856459313,sl,13
NY,2018-02-12 00:00:00+00:00,2018,2018-02-12 17:15:00+00:00,2018-02-12 22:00:00+00:00,1,8.080000000000155,0.6113912673010493,1325.83,0.34,-3.740000000000009,0.43000000000000005,-4.170000000000009,-0.5160891089108823,time,17
ASIA,2018-02-13 00:00:00+00:00,2018,2018-02-13 07:46:00+00:00,2018-02-13 15:59:00+00:00,1,6.349999999999909,0.47966632345834115,1328.5,0.33,0.09999999999990905,0.42000000000000004,-0.320000000000091,-0.050393700787416625,time,7
LON,2018-02-13 00:00:00+00:00,2018,2018-02-13 14:19:00+00:00,2018-02-13 19:59:00+00:00,-1,5.9500000000000455,0.44793607618436904,1324.67,0.36,-3.509999999999991,0.45,-3.959999999999991,-0.6655462184873884,time,14
ASIA,2018-02-14 00:00:00+00:00,2018,2018-02-14 09:15:00+00:00,2018-02-14 13:30:00+00:00,-1,6.040000000000191,0.45285407720809395,1330.77,0.33,4.530000000000143,0.42000000000000004,4.110000000000143,0.6804635761589426,tp,9
LON,2018-02-14 00:00:00+00:00,2018,2018-02-14 13:30:00+00:00,2018-02-14 13:57:00+00:00,-1,4.650000000000091,0.34920029377883466,1323.98,0.345,-4.650000000000091,0.435,-5.085000000000091,-1.0935483870967724,sl,13
ASIA,2018-02-15 00:00:00+00:00,2018,2018-02-15 08:17:00+00:00,2018-02-15 11:18:00+00:00,1,4.519999999999982,0.33394296942818885,1355.95,0.33,-4.519999999999982,0.42000000000000004,-4.939999999999982,-1.0929203539823011,sl,8
LON,2018-02-15 00:00:00+00:00,2018,2018-02-15 15:15:00+00:00,2018-02-15 19:59:00+00:00,-1,6.75,0.4985573842011227,1350.21,0.355,-4.6099999999999,0.445,-5.0549999999999,-0.7488888888888741,time,15
NY,2018-02-15 00:00:00+00:00,2018,2018-02-15 19:51:00+00:00,2018-02-15 21:59:00+00:00,1,5.490000000000009,0.4059849252522168,1354.33,0.35,-0.8799999999998818,0.44,-1.3199999999998817,-0.24043715846992342,time,19
ASIA,2018-02-16 00:00:00+00:00,2018,2018-02-16 08:14:00+00:00,2018-02-16 14:23:00+00:00,1,7.580000000000155,0.5590169643252523,1360.15,0.33,-7.580000000000155,0.42000000000000004,-8.000000000000155,-1.0554089709762522,sl,8
LON,2018-02-16 00:00:00+00:00,2018,2018-02-16 13:00:00+00:00,2018-02-16 14:20:00+00:00,-1,4.360000000000127,0.32081747038515984,1356.33,0.345,3.2700000000000955,0.435,2.8350000000000954,0.650229357798168,tp,13
NY,2018-02-16 00:00:00+00:00,2018,2018-02-16 18:45:00+00:00,2018-02-16 19:06:00+00:00,-1,5.920000000000073,0.4370711788933804,1350.77,0.345,4.440000000000055,0.435,4.005000000000055,0.6765202702702713,tp,18
LON,2018-02-19 00:00:00+00:00,2018,2018-02-19 13:29:00+00:00,2018-02-19 18:00:00+00:00,-1,2.740000000000009,0.2033260983542268,1346.35,0.345,-0.20000000000004547,0.435,-0.6350000000000455,-0.2317518248175341,time,13
ASIA,2018-02-20 00:00:00+00:00,2018,2018-02-20 07:00:00+00:00,2018-02-20 15:59:00+00:00,-1,6.220000000000027,0.4634208772181389,1339.47,0.33,1.6400000000001,0.42000000000000004,1.2200000000001001,0.1961414790996937,time,7
LON,2018-02-20 00:00:00+00:00,2018,2018-02-20 13:23:00+00:00,2018-02-20 13:55:00+00:00,1,3.6000000000001364,0.269035762375867,1340.68,0.345,-3.6000000000001364,0.435,-4.035000000000136,-1.1208333333333287,sl,13
NY,2018-02-20 00:00:00+00:00,2018,2018-02-20 17:53:00+00:00,2018-02-20 21:59:00+00:00,-1,13.039999999999964,0.9746345260668307,1329.88,0.34,0.9800000000000182,0.43000000000000005,0.5500000000000181,0.04217791411043096,time,17
LON,2018-02-21 00:00:00+00:00,2018,2018-02-21 13:59:00+00:00,2018-02-21 19:04:00+00:00,1,4.869999999999891,0.3666616749481679,1329.91,0.345,3.652499999999918,0.435,3.217499999999918,0.6606776180698132,tp,13
NY,2018-02-21 00:00:00+00:00,2018,2018-02-21 17:12:00+00:00,2018-02-21 19:04:00+00:00,-1,5.629999999999882,0.42337681739949995,1326.94,0.34,-5.629999999999882,0.43000000000000005,-6.0599999999998815,-1.076376554174069,sl,17
ASIA,2018-02-22 00:00:00+00:00,2018,2018-02-22 07:00:00+00:00,2018-02-22 13:52:00+00:00,-1,4.230000000000018,0.319412569492896,1321.01,0.33,-4.230000000000018,0.42000000000000004,-4.650000000000018,-1.0992907801418434,sl,7
