group,variant,net_2022_23,win_2022_23,n_2022_23,net_2024_25,win_2024_25,n_2024_25,net_2026,net_sep26,sep26_win,net_4y,win_4y,n_4y,trades_kept_pct,n_sep26
family,"fixed $12, fail 4",-1333.1760000000068,28.73426335488261,5878.0,-1594.0470000000241,37.95678423895774,6294.0,-689.2949999999958,44.21899999999969,61.40350877192983,-2927.223000000031,33.50312191915872,12172.0,23.357832319471896,
family,"fixed $3, fail 5",-1566.0650000000066,30.05472148168935,7127.0,-2666.1290000000436,42.35124932590329,11126.0,-938.4199999999946,100.73899999999465,56.34517766497462,-4232.19400000005,37.54999178217279,18253.0,35.02715357602042,
family,"fixed $5, fail 5",-1404.4140000000018,28.85916601101495,6355.0,-2264.6660000000293,40.61766522544781,8095.0,-610.1799999999998,112.69000000000213,63.793103448275865,-3669.0800000000318,35.44636678200692,14450.0,27.729270211663565,
family,"fixed $8, fail 5",-1377.8770000000004,28.430580248909003,6187.0,-1726.560000000031,39.08264947245018,6824.0,-571.964999999998,27.945000000000263,62.5,-3104.4370000000317,34.01736991776189,13011.0,24.96785707432212,
family,"fixed $12, fail 5",-1364.6680000000001,28.392857142857142,6160.0,-1749.2400000000266,37.98701298701299,6468.0,-667.1550000000152,24.70000000000019,58.490566037735846,-3113.9080000000267,33.30693696547355,12628.0,24.232887490165226,
family,"ATR band 0.3x, fail 3",-5498.399999999994,27.622027032446955,24933.0,-5607.038000000099,36.992037085498524,26749.0,-1034.049999999979,73.38699999999285,53.359683794466406,-11105.438000000093,32.471653573778106,51682.0,99.17675730651878,
family,"ATR band 0.5x, fail 3",-5451.684999999995,27.607163114820516,24682.0,-5624.704000000105,36.99345416020281,26429.0,-1083.169999999981,67.34499999999193,52.98804780876494,-11076.3890000001,32.460722740701605,51111.0,98.08101936251464,
family,"ATR band 0.75x, fail 3",-5359.098999999995,27.641773821299044,24264.0,-5510.658000000105,37.05106892952411,25867.0,-1113.7899999999831,73.00299999999172,53.41365461847389,-10869.757000000098,32.49685823143365,50131.0,96.20041833777897,
family,"ATR band 1.0x, fail 3",-5229.598999999993,27.692242439665776,23577.0,-5379.691000000098,37.0504029832792,24939.0,-981.0399999999812,71.63599999999077,53.49794238683128,-10609.290000000092,32.502679528403,48516.0,93.1012646082401,
family,"ATR band 1.5x, fail 3",-4586.596999999991,27.951505821225826,20786.0,-4717.301000000078,37.096550127344294,21595.0,-911.0649999999794,76.29599999999137,53.110047846889955,-9303.898000000068,32.61131167268351,42381.0,81.32831839726737,
