year,end,n0,wr0,net0,n_blk,wr_blk,net_blk,n1,wr1,net1
2024,2024-10-17,278,28.41726618705036,-100.26500000000405,67,29.850746268656714,-21.054999999999744,182,36.26373626373626,-67.3439999999986
2024,2024-10-16,273,26.73992673992674,-112.82900000000345,72,25.0,-31.29500000000135,184,33.69565217391305,-58.57099999999927
2024,2024-10-15,286,30.069930069930066,-97.67100000000457,73,28.767123287671232,-13.896000000001635,190,37.368421052631575,-44.624999999999545
2024,2024-10-14,266,32.70676691729324,-75.0640000000082,72,30.555555555555557,-13.758000000002445,186,37.634408602150536,-50.04199999999828
2024,2024-10-11,265,31.32075471698113,-50.45600000000694,71,28.169014084507044,-7.114000000003396,184,39.130434782608695,-25.0409999999968
2024,2024-10-10,253,31.620553359683797,-43.204000000006175,63,30.158730158730158,3.130999999997494,177,39.548022598870055,-21.53999999999849
2024,2024-10-08,245,33.06122448979592,-32.1440000000066,58,32.758620689655174,1.4079999999975374,169,42.60355029585799,-22.684999999999764
2024,2024-10-07,236,32.20338983050847,-37.95600000000212,63,36.507936507936506,-9.306000000001042,167,43.11377245508982,-14.048999999998063
2024,2024-10-06,232,32.758620689655174,-36.53299999999889,61,31.147540983606557,-17.08200000000006,166,43.373493975903614,-11.615999999999259
2024,2024-10-03,236,33.89830508474576,-39.66499999999924,56,32.142857142857146,-29.434999999999217,166,39.75903614457831,-34.96100000000089
2024,2024-10-02,244,35.24590163934426,-32.375999999998186,58,34.48275862068966,-27.08399999999856,172,41.27906976744186,-32.029999999999205
2024,2024-10-01,270,34.81481481481482,-44.367000000001084,60,38.333333333333336,-20.00999999999931,182,42.30769230769231,-31.53099999999986
2024,2024-09-30,283,35.68904593639576,-31.811000000001158,55,32.72727272727273,-19.794999999999156,182,41.75824175824176,-49.43200000000152
2024,2024-09-27,293,32.42320819112628,-52.71099999999852,57,33.33333333333333,-19.099999999997998,190,41.05263157894737,-68.49799999999959
