entry_time,exit_time,direction,entry,exit,sl,tp,lot,pnl,r_multiple,bars_held,exit_reason
2022-02-09 10:45:00,2022-02-09 12:00:00,SHORT,1827.21,1827.71,,,0.1,-9.5,0.0,3,REV
2022-02-09 12:00:00,2022-02-09 13:00:00,LONG,1827.71,1826.71,,,0.1,-14.5,0.0,6,REV
2022-02-09 13:00:00,2022-02-09 14:45:00,SHORT,1826.71,1827.71,,,0.1,-14.5,0.0,10,REV
2022-02-09 14:45:00,2022-02-09 15:30:00,LONG,1827.71,1828.21,,,0.1,0.5,0.0,17,REV
2022-02-09 15:30:00,2022-02-09 17:15:00,SHORT,1828.21,1829.21,,,0.1,-14.5,0.0,16,REV
2022-02-09 17:15:00,2022-02-09 17:45:00,LONG,1829.21,1828.71,,,0.1,-9.5,0.0,11,REV
2022-02-09 17:45:00,2022-02-09 18:00:00,SHORT,1828.71,1829.71,,,0.1,-14.5,0.0,2,REV
2022-02-09 18:00:00,2022-02-09 21:45:00,LONG,1829.71,1833.21,,,0.1,30.5,0.0,27,REV
2022-02-09 21:45:00,2022-02-10 03:00:00,SHORT,1833.21,1833.71,,,0.1,-9.5,0.0,17,REV
2022-02-10 03:00:00,2022-02-10 10:00:00,LONG,1833.71,1833.21,,,0.1,-9.5,0.0,31,REV
2022-02-10 10:00:00,2022-02-10 12:45:00,SHORT,1833.21,1833.21,,,0.1,-4.5,0.0,18,REV
2022-02-10 12:45:00,2022-02-10 14:15:00,LONG,1833.21,1831.71,,,0.1,-19.5,0.0,5,REV
2022-02-10 14:15:00,2022-02-10 15:30:00,SHORT,1831.71,1832.71,,,0.1,-14.5,0.0,10,REV
2022-02-10 15:30:00,2022-02-10 15:45:00,LONG,1832.71,1833.21,,,0.1,0.5,0.0,17,REV
2022-02-10 15:45:00,2022-02-10 16:30:00,SHORT,1833.21,1829.21,,,0.1,35.5,0.0,32,REV
2022-02-10 16:30:00,2022-02-10 17:30:00,LONG,1829.21,1833.21,,,0.1,35.5,0.0,28,REV
2022-02-10 17:30:00,2022-02-10 17:30:00,SHORT,1833.21,1834.21,,,0.1,-14.5,0.0,2,REV
2022-02-10 17:30:00,2022-02-10 17:45:00,LONG,1834.21,1836.21,,,0.1,15.5,0.0,20,REV
2022-02-10 17:45:00,2022-02-10 18:00:00,SHORT,1836.21,1838.21,,,0.1,-24.5,0.0,6,REV
2022-02-10 18:00:00,2022-02-10 19:45:00,LONG,1838.21,1839.21,,,0.1,5.5,0.0,20,REV
2022-02-10 19:45:00,2022-02-10 20:00:00,SHORT,1839.21,1836.21,,,0.1,25.5,0.0,22,REV
2022-02-10 20:00:00,2022-02-10 21:00:00,LONG,1836.21,1834.71,,,0.1,-19.5,0.0,15,REV
2022-02-10 21:00:00,2022-02-11 05:00:00,SHORT,1834.71,1826.71,,,0.1,75.5,0.0,46,REV
2022-02-11 05:00:00,2022-02-11 06:00:00,LONG,1826.71,1825.21,,,0.1,-19.5,0.0,3,REV
2022-02-11 06:00:00,2022-02-11 09:45:00,SHORT,1825.21,1824.21,,,0.1,5.5,0.0,34,REV
2022-02-11 09:45:00,2022-02-11 12:15:00,LONG,1824.21,1825.21,,,0.1,5.5,0.0,20,REV
2022-02-11 12:15:00,2022-02-11 12:30:00,SHORT,1825.21,1826.71,,,0.1,-19.5,0.0,3,REV
2022-02-11 12:30:00,2022-02-11 15:15:00,LONG,1826.71,1829.71,,,0.1,25.5,0.0,34,REV
2022-02-11 15:15:00,2022-02-11 16:15:00,SHORT,1829.71,1829.71,,,0.1,-4.5,0.0,18,REV
2022-02-11 16:15:00,2022-02-11 18:00:00,LONG,1829.71,1833.71,,,0.1,35.5,0.0,30,REV
2022-02-11 18:00:00,2022-02-11 18:45:00,SHORT,1833.71,1835.21,,,0.1,-19.5,0.0,11,REV
2022-02-11 18:45:00,2022-02-11 21:15:00,LONG,1835.21,1855.21,,,0.1,195.5,0.0,64,REV
2022-02-11 21:15:00,2022-02-11 21:15:00,SHORT,1855.21,1857.71,,,0.1,-29.5,0.0,5,REV
2022-02-11 21:15:00,2022-02-11 23:30:00,LONG,1857.71,1860.71,,,0.1,25.5,0.0,32,REV
2022-02-11 23:30:00,2022-02-14 02:30:00,SHORT,1860.71,1860.71,,,0.1,-4.5,0.0,20,REV
2022-02-14 02:30:00,2022-02-14 02:30:00,LONG,1860.71,1859.21,,,0.1,-19.5,0.0,3,REV
2022-02-14 02:30:00,2022-02-14 07:30:00,SHORT,1859.21,1854.21,,,0.1,45.5,0.0,46,REV
2022-02-14 07:30:00,2022-02-14 08:45:00,LONG,1854.21,1852.71,,,0.1,-19.5,0.0,9,REV
2022-02-14 08:45:00,2022-02-14 09:15:00,SHORT,1852.71,1854.21,,,0.1,-19.5,0.0,7,REV
2022-02-14 09:15:00,2022-02-14 10:00:00,LONG,1854.21,1852.71,,,0.1,-19.5,0.0,13,REV
2022-02-14 10:00:00,2022-02-14 10:15:00,SHORT,1852.71,1854.71,,,0.1,-24.5,0.0,6,REV
2022-02-14 10:15:00,2022-02-14 11:15:00,LONG,1854.71,1855.21,,,0.1,0.5,0.0,21,REV
2022-02-14 11:15:00,2022-02-14 11:45:00,SHORT,1855.21,1856.71,,,0.1,-19.5,0.0,9,REV
2022-02-14 11:45:00,2022-02-14 12:30:00,LONG,1856.71,1855.21,,,0.1,-19.5,0.0,9,REV
2022-02-14 12:30:00,2022-02-14 13:30:00,SHORT,1855.21,1856.71,,,0.1,-19.5,0.0,11,REV
2022-02-14 13:30:00,2022-02-14 14:30:00,LONG,1856.71,1854.71,,,0.1,-24.5,0.0,10,REV
2022-02-14 14:30:00,2022-02-14 15:00:00,SHORT,1854.71,1856.21,,,0.1,-19.5,0.0,11,REV
2022-02-14 15:00:00,2022-02-14 15:15:00,LONG,1856.21,1853.71,,,0.1,-29.5,0.0,5,REV
2022-02-14 15:15:00,2022-02-14 15:15:00,SHORT,1853.71,1855.71,,,0.1,-24.5,0.0,4,REV
